id,adres,bisiklet_mevcut,bos_yer,toplam_yer,durum,lat,lon
urn:ngsi-ld:station:001,Rue Jules Ferry - Gare Saint-Roch,8,3,12,working,43.605366,3.881346
urn:ngsi-ld:station:002,Comédie,7,13,20,working,43.608148,3.878778
urn:ngsi-ld:station:004,Hôtel de Ville,3,13,16,working,43.599088,3.894866
urn:ngsi-ld:station:005,Corum,10,2,12,working,43.613989,3.8816
urn:ngsi-ld:station:006,Place Albert 1er - St Charles,5,22,27,working,43.616768,3.873375
urn:ngsi-ld:station:007,Foch,2,6,8,working,43.610989,3.873345
urn:ngsi-ld:station:008,Halles Castellane,0,12,12,working,43.609935,3.877208
urn:ngsi-ld:station:009,Observatoire,5,2,8,working,43.606301,3.87724
urn:ngsi-ld:station:010,Rondelet,1,15,16,working,43.603038,3.875796
urn:ngsi-ld:station:011,Plan Cabanes,8,4,12,working,43.608491,3.868389
urn:ngsi-ld:station:012,Boutonnet,2,10,12,working,43.622629,3.868375
urn:ngsi-ld:station:013,Emile Combes,2,6,8,working,43.616742,3.87998
urn:ngsi-ld:station:014,Beaux-Arts,7,9,16,working,43.616698,3.884981
urn:ngsi-ld:station:015,Les Aubes,5,3,8,working,43.618692,3.893844
urn:ngsi-ld:station:016,Antigone centre,6,6,12,working,43.607942,3.890634
urn:ngsi-ld:station:017,Médiathèque Emile Zola,8,8,16,working,43.608218,3.89314
urn:ngsi-ld:station:018,Nombre d Or,9,7,16,working,43.607859,3.886644
urn:ngsi-ld:station:019,Louis Blanc,9,7,16,working,43.614642,3.877648
urn:ngsi-ld:station:020,Gambetta,5,3,8,working,43.607106,3.870693
urn:ngsi-ld:station:021,Port Marianne,6,10,16,working,43.60032,3.89851
urn:ngsi-ld:station:023,Les Arceaux,7,1,8,working,43.612659,3.867734
urn:ngsi-ld:station:024,Cité Mion,3,5,8,working,43.601143,3.884373
urn:ngsi-ld:station:025,Nouveau Saint-Roch,5,3,8,working,43.599817,3.875757
urn:ngsi-ld:station:026,Renouvier,0,8,8,working,43.603553,3.867884
urn:ngsi-ld:station:027,Odysseum,0,8,8,working,43.603727,3.918979
urn:ngsi-ld:station:028,Saint-Denis,0,8,8,working,43.605021,3.875065
urn:ngsi-ld:station:029,Richter,4,12,16,working,43.603424,3.899263
urn:ngsi-ld:station:030,Charles Flahault,2,6,8,working,43.622038,3.86672
urn:ngsi-ld:station:031,Voltaire,1,7,8,working,43.603767,3.888659
urn:ngsi-ld:station:032,Prés d Arènes,2,6,8,working,43.59048,3.884611
urn:ngsi-ld:station:033,Garcia Lorca,3,5,8,working,43.590757,3.890616
urn:ngsi-ld:station:034,Vert Bois,6,10,16,working,43.63543,3.871179
urn:ngsi-ld:station:035,Malbosc,1,7,8,working,43.633679,3.832861
urn:ngsi-ld:station:036,Occitanie,6,26,32,working,43.635689,3.849597
urn:ngsi-ld:station:037,Fac des Sciences,6,18,24,working,43.631318,3.861299
urn:ngsi-ld:station:038,Fac de Lettres,3,9,12,working,43.630437,3.869539
urn:ngsi-ld:station:039,Aiguelongue,3,3,8,working,43.626163,3.882492
urn:ngsi-ld:station:040,Jeu de Mail des Abbés,4,4,8,working,43.619701,3.883831
urn:ngsi-ld:station:041,Euromédecine,2,6,8,working,43.639119,3.828199
urn:ngsi-ld:station:042,Marie Caizergues,5,3,8,working,43.619871,3.873812
urn:ngsi-ld:station:043,Sabines,2,6,8,working,43.584211,3.860031
urn:ngsi-ld:station:044,Celleneuve,1,7,8,working,43.61467,3.832624
urn:ngsi-ld:station:045,Jardin de la Lironde,2,6,8,working,43.60585,3.911576
urn:ngsi-ld:station:046,Père Soulas,5,3,8,working,43.621983,3.855603
urn:ngsi-ld:station:047,Place Viala,5,2,8,working,43.616812,3.855075
urn:ngsi-ld:station:048,Hôtel du Département,2,6,8,working,43.621682,3.83477
urn:ngsi-ld:station:049,Tonnelles,3,5,8,working,43.615155,3.839466
urn:ngsi-ld:station:050,Parvis Jules Ferry - Gare Saint-Roch,5,3,8,working,43.603889,3.879362
urn:ngsi-ld:station:051,Pont de Lattes - Gare Saint-Roch,7,5,12,working,43.606036,3.882393
urn:ngsi-ld:station:053,Deux Ponts - Gare Saint-Roch,0,8,8,working,43.604319,3.880916
urn:ngsi-ld:station:054,Providence - Ovalie,2,6,8,working,43.588239,3.853421
urn:ngsi-ld:station:055,Pérols Etang de l Or,41,27,68,working,43.558351,3.963412
urn:ngsi-ld:station:056,Albert 1er - Cathédrale,5,7,12,working,43.614005,3.873218
urn:ngsi-ld:station:057,Saint-Guilhem - Courreau,4,4,8,working,43.608996,3.872752
urn:ngsi-ld:station:059,Sud De France,2,6,8,working,43.59562,3.9235
urn:ngsi-ld:station:060,Comedie Baudin,0,8,8,working,43.608717,3.880787
urn:ngsi-ld:station:061,Jean de Beins,2,14,16,working,43.609857,3.883884
