id,adres,bos_yer,toplam_yer,durum,lat,lon
urn:ngsi-ld:parking:001,,139,239,Open,43.60871606,3.88881893
urn:ngsi-ld:parking:003,,243,666,Open,43.60856092,3.87976196
urn:ngsi-ld:parking:004,,149,480,Open,43.61388821,3.88225773
urn:ngsi-ld:parking:005,,296,591,Open,43.60784971,3.89253074
urn:ngsi-ld:parking:006,,214,500,Open,43.61074912,3.87657084
urn:ngsi-ld:parking:007,,167,452,Open,43.60695138,3.87137436
urn:ngsi-ld:parking:008,,239,656,Open,43.604024,3.87891
urn:ngsi-ld:parking:009,,274,434,Open,43.60923384,3.88184418
urn:ngsi-ld:parking:010,,403,590,Open,43.61224494,3.87019117
urn:ngsi-ld:parking:011,,785,1200,Open,43.60495377,3.9178495
urn:ngsi-ld:parking:012,,294,400,Open,43.59098509,3.8907158
urn:ngsi-ld:parking:013,,133,328,Open,43.61623716,3.81966554
urn:ngsi-ld:parking:014,,115,285,Open,43.58383263,3.8602246
urn:ngsi-ld:parking:015,,85,379,Open,43.63419194,3.92229536
urn:ngsi-ld:parking:016,,110,285,Open,43.57082225,3.8379312
urn:ngsi-ld:parking:017,,122,239,Open,43.63895359,3.82772365
urn:ngsi-ld:parking:018,,158,615,Open,43.63456232,3.84859796
urn:ngsi-ld:parking:019,,19,64,Open,43.63286,3.898411
urn:ngsi-ld:parking:020,,74,109,Open,43.604526,3.91529
urn:ngsi-ld:parking:021,,5,250,Open,43.604824,3.914158
urn:ngsi-ld:parking:022,,98,260,Open,43.6285421,3.8977621
urn:ngsi-ld:parking:024,,1013,1911,Open,43.607697,3.88515
urn:ngsi-ld:parking:002,,73,440,Open,43.61100267,3.8732007
urn:ngsi-ld:parking:025,,199,500,Open,43.60495377,3.9178495
