id,adres,bos_yer,toplam_yer,durum,lat,lon
urn:ngsi-ld:parking:001,Parking 001 - Montpellier,139,239,Open,43.60871606,3.88881893
urn:ngsi-ld:parking:003,Parking 003 - Montpellier,243,666,Open,43.60856092,3.87976196
urn:ngsi-ld:parking:004,Parking 004 - Montpellier,149,480,Open,43.61388821,3.88225773
urn:ngsi-ld:parking:005,Parking 005 - Montpellier,296,591,Open,43.60784971,3.89253074
urn:ngsi-ld:parking:006,Parking 006 - Montpellier,214,500,Open,43.61074912,3.87657084
urn:ngsi-ld:parking:007,Parking 007 - Montpellier,167,452,Open,43.60695138,3.87137436
urn:ngsi-ld:parking:008,Parking 008 - Montpellier,239,656,Open,43.604024,3.87891
urn:ngsi-ld:parking:009,Parking 009 - Montpellier,274,434,Open,43.60923384,3.88184418
urn:ngsi-ld:parking:010,Parking 010 - Montpellier,403,590,Open,43.61224494,3.87019117
urn:ngsi-ld:parking:011,Parking 011 - Montpellier,785,1200,Open,43.60495377,3.9178495
urn:ngsi-ld:parking:012,Parking 012 - Montpellier,294,400,Open,43.59098509,3.8907158
urn:ngsi-ld:parking:013,Parking 013 - Montpellier,133,328,Open,43.61623716,3.81966554
urn:ngsi-ld:parking:014,Parking 014 - Montpellier,115,285,Open,43.58383263,3.8602246
urn:ngsi-ld:parking:015,Parking 015 - Montpellier,85,379,Open,43.63419194,3.92229536
urn:ngsi-ld:parking:016,Parking 016 - Montpellier,110,285,Open,43.57082225,3.8379312
urn:ngsi-ld:parking:017,Parking 017 - Montpellier,122,239,Open,43.63895359,3.82772365
urn:ngsi-ld:parking:018,Parking 018 - Montpellier,158,615,Open,43.63456232,3.84859796
urn:ngsi-ld:parking:019,Parking 019 - Montpellier,19,64,Open,43.63286,3.898411
urn:ngsi-ld:parking:020,Parking 020 - Montpellier,74,109,Open,43.604526,3.91529
urn:ngsi-ld:parking:021,Parking 021 - Montpellier,5,250,Open,43.604824,3.914158
urn:ngsi-ld:parking:022,Parking 022 - Montpellier,98,260,Open,43.6285421,3.8977621
urn:ngsi-ld:parking:024,Parking 024 - Montpellier,1013,1911,Open,43.607697,3.88515
urn:ngsi-ld:parking:002,Parking 002 - Montpellier,73,440,Open,43.61100267,3.8732007
urn:ngsi-ld:parking:025,Parking 025 - Montpellier,199,500,Open,43.60495377,3.9178495
