stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
S5154,5154,"Biste",43.655830665,4.000051225,1,,
899,29104,"Biste",43.65567445,3.99997857,0,S5154,1
922,29209,"Biste",43.65598688,4.00012388,0,S5154,1
S5155,5155,"Collège Le Bérange",43.66727823,4.02340227,1,,
906,29111,"Collège Le Bérange",43.66727823,4.02340227,0,S5155,1
S5156,5156,"Fenouillet",43.66431629,4.02193387,1,,
905,29110,"Fenouillet",43.66403813,4.02247676,0,S5156,1
915,29202,"Fenouillet",43.66459445,4.02139098,0,S5156,1
S5158,5158,"Gaston Baissette",43.66451683,4.01712848,1,,
916,29203,"Gaston Baissette",43.66451683,4.01712848,0,S5158,1
S5160,5160,"Le Grès",43.662650365,4.008479085,1,,
902,29107,"Le Grès",43.66256997,4.00873679,0,S5160,1
919,29206,"Le Grès",43.66273076,4.00822138,0,S5160,1
S5161,5161,"Le Levant",43.66168819,4.01807304,1,,
904,29109,"Le Levant",43.66168819,4.01807304,0,S5161,1
S5162,5162,"Mairie de Baillargues",43.661497075,4.01358452,1,,
903,29108,"Mairie de Baillargues",43.6611053,4.01391975,0,S5162,
918,29205,"Mairie de Baillargues",43.66188885,4.01324929,0,S5162,1
S5163,5163,"Paradis",43.66394323,4.01411461,1,,
917,29204,"Paradis",43.66394323,4.01411461,0,S5163,1
S5164,5164,"Paul Cézanne",43.659586205,4.006339905,1,,
901,29106,"Paul Cézanne",43.66008075,4.00691781,0,S5164,1
920,29207,"Paul Cézanne",43.65909166,4.005762,0,S5164,1
S5165,5165,"Treille",43.65668548,4.00234215,1,,
900,29105,"Treille",43.65664533,4.0023224,0,S5165,1
921,29208,"Treille",43.65672563,4.0023619,0,S5165,1
S5166,5166,"Le Créant",43.72794184,4.029487005,1,,
939,31106,"Le Créant",43.7279174,4.0293251,0,S5166,
945,31206,"Le Créant",43.72796628,4.02964891,0,S5166,
S5167,5167,"Le Ginestet",43.721879225,4.006775815,1,,
1304,27123,"Le Ginestet",43.7218297,4.00678056,0,S5167,1
1312,27223,"Le Ginestet",43.72192875,4.00677107,0,S5167,
S5168,5168,"Le Puits",43.72599359,4.02238725,1,,
1307,27216,"Le Puits",43.72599359,4.02238725,0,S5168,
1350,27125,"Le Puits",43.72599359,4.02238725,0,S5168,
S5169,5169,"Mairie de Beaulieu",43.728940995,4.0210424,1,,
1012,35109,"Mairie de Beaulieu",43.72896433,4.0209873,0,S5169,
1306,27215,"Mairie de Beaulieu",43.72891766,4.0210975,0,S5169,
S5170,5170,"Aube Rouge",43.63891032,3.9245285075,1,,
1030,35221,"Aube Rouge",43.63925432,3.92421314,0,S5170,
1216,42163,"Aube Rouge",43.63857054,3.92486256,0,S5170,1
1222,42207,"Aube Rouge",43.6385621,3.92482519,0,S5170,1
1360,35114,"Aube Rouge",43.63925432,3.92421314,0,S5170,
S5171,5171,"Balestrier",43.644288965,3.903524455,1,,
144,04169,"Balestrier",43.64426011,3.90334416,0,S5171,
146,04202,"Balestrier",43.64431782,3.90370475,0,S5171,
S5172,5172,"Buissonnets",43.645470075,3.907010845,1,,
143,04168,"Buissonnets",43.64549245,3.90701765,0,S5172,
147,04203,"Buissonnets",43.6454477,3.90700404,0,S5172,
S5173,5173,"Castelnau Zone d'Activités",43.636269405,3.926679995,1,,
594,20116,"Castelnau Zone d'Activités",43.63598875,3.92620182,0,S5173,1
626,20219,"Castelnau Zone d'Activités",43.63655006,3.92715817,0,S5173,
S5174,5174,"Castors",43.633013475,3.903982435,1,,
129,04127,"Castors",43.63283706,3.90374862,0,S5174,
1026,35214,"Castors",43.63318989,3.90421625,0,S5174,
S5175,5175,"Caylus",43.64504846,3.898246775,1,,
1058,36141,"Caylus",43.64531258,3.89832209,0,S5175,1
1095,36241,"Caylus",43.64478434,3.89817146,0,S5175,1
S5176,5176,"Centurions",43.63279339,3.91572226,1,,
1214,42157,"Centurions",43.63277982,3.91572807,0,S5176,1
1224,42213,"Centurions",43.63280696,3.91571645,0,S5176,1
S5177,5177,"Charles de Gaulle",43.62818731875,3.89743143375,1,,
419,10150,"Charles de Gaulle",43.62823785,3.89665467,0,S5177,1
454,10246,"Charles de Gaulle",43.62809514,3.89657651,0,S5177,1
1013,35110,"Charles de Gaulle",43.62838444,3.89771064,0,S5177,1
1024,35210,"Charles de Gaulle",43.62838444,3.89771064,0,S5177,1
1211,42151,"Charles de Gaulle",43.62860803,3.89779101,0,S5177,1
1227,42219,"Charles de Gaulle",43.62863552,3.89775464,0,S5177,1
1483,16301,"Charles de Gaulle",43.62734798,3.8978927,0,S5177,1
1488,16501,"Charles de Gaulle",43.62780515,3.89736066,0,S5177,1
S5178,5178,"Auguste Renoir",43.643646285,3.910953055,1,,
142,04167,"Auguste Renoir",43.6436098,3.91098919,0,S5178,
148,04204,"Auguste Renoir",43.64368277,3.91091692,0,S5178,
S5179,5179,"Chênes Kermès",43.63897727,3.90901087,1,,
138,04163,"Chênes Kermès",43.63902427,3.90917927,0,S5179,
152,04208,"Chênes Kermès",43.63893027,3.90884247,0,S5179,
S5180,5180,"Cimetière de Castelnau-le-Lez",43.63199134,3.89757409,1,,
155,04218,"Cimetière de Castelnau-le-Lez",43.63199134,3.89757409,0,S5180,
S5181,5181,"Clairval",43.63017014,3.90260486,1,,
1212,42153,"Clairval",43.63015657,3.90261068,0,S5181,1
1226,42217,"Clairval",43.63018371,3.90259904,0,S5181,1
S5182,5182,"Clinique du Parc",43.63535851,3.89098223,1,,
1015,35113,"Clinique du Parc",43.63535851,3.89098223,0,S5182,
S5183,5183,"Closerie des Guilhems",43.63460011,3.894959495,1,,
675,22102,"Closerie des Guilhems",43.63429208,3.89512437,0,S5183,
717,22219,"Closerie des Guilhems",43.63490814,3.89479462,0,S5183,
S5184,5184,"Collège Frédéric Bazille",43.634375615,3.90645199,1,,
1014,35112,"Collège Frédéric Bazille",43.63438784,3.90653897,0,S5184,
1025,35212,"Collège Frédéric Bazille",43.63436339,3.90636501,0,S5184,
S5185,5185,"Décurions",43.63589181,3.90945196,1,,
1018,35117,"Décurions",43.63595274,3.90958979,0,S5185,
1029,35217,"Décurions",43.63583088,3.90931413,0,S5185,
S5186,5186,"Georges Pompidou",43.649320265,3.921032665,1,,
1218,42167,"Georges Pompidou",43.64932449,3.92105135,0,S5186,1
1220,42203,"Georges Pompidou",43.64931604,3.92101398,0,S5186,1
S5187,5187,"Collège François Mitterrand",43.652303995,3.895083745,1,,
699,22163,"Collège François Mitterrand",43.65242745,3.89493854,0,S5187,1
725,22264,"Collège François Mitterrand",43.65218054,3.89522895,0,S5187,1
S5188,5188,"Substantion",43.639988915,3.894066775,1,,
676,22103,"Substantion",43.6399519,3.89414004,0,S5188,
716,22218,"Substantion",43.64002593,3.89399351,0,S5188,
S5189,5189,"La Galine",43.6314524,3.90903264,1,,
1213,42155,"La Galine",43.63143874,3.90904464,0,S5189,1
1225,42215,"La Galine",43.63146606,3.90902064,0,S5189,1
S5190,5190,"La Pompignane - Les Lacs",43.62523849,3.900167805,1,,
318,08121,"La Pompignane - Les Lacs",43.62579596,3.90078328,0,S5190,1
324,08203,"La Pompignane - Les Lacs",43.62468102,3.89955233,0,S5190,
S5191,5191,"Les Aires",43.64248001,3.8996187,1,,
