service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1-127,1,1,1,1,1,1,1,20260401,20260607
11-1-127,1,1,1,1,1,1,1,20260401,20260607
1-1-127,1,1,1,1,1,1,1,20260401,20260607
12-1-127,1,1,1,1,1,1,1,20260401,20260607
13-1-127,1,1,1,1,1,1,1,20260401,20260607
14-1-127,1,1,1,1,1,1,1,20260401,20260607
15-1-127,1,1,1,1,1,1,1,20260401,20260607
16-1-127,1,1,1,1,1,1,1,20260401,20260607
17-1-127,1,1,1,1,1,1,1,20260401,20260607
18-1-127,1,1,1,1,1,1,1,20260401,20260607
19-1-127,1,1,1,1,1,1,1,20260401,20260607
20-1-127,1,1,1,1,1,1,1,20260401,20260607
21-1-127,1,1,1,1,1,1,1,20260401,20260607
2-1-127,1,1,1,1,1,1,1,20260401,20260607
22-1-127,1,1,1,1,1,1,1,20260401,20260607
23-1-127,1,1,1,1,1,1,1,20260401,20260607
24-1-127,1,1,1,1,1,1,1,20260401,20260607
25-1-127,1,1,1,1,1,1,1,20260401,20260607
3-1-127,1,1,1,1,1,1,1,20260401,20260607
4-1-127,1,1,1,1,1,1,1,20260401,20260607
5-1-127,1,1,1,1,1,1,1,20260401,20260607
6-1-127,1,1,1,1,1,1,1,20260401,20260607
7-1-127,1,1,1,1,1,1,1,20260401,20260607
8-1-127,1,1,1,1,1,1,1,20260401,20260607
9-1-127,1,1,1,1,1,1,1,20260401,20260607
