route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
1,1,"1","Mosson - Gare Sud de France",0,005CA9,FFFFFF,
10,1,"10","Celleneuve - Cimetière Saint-Lazare",3,FFB900,,
11,1,"11","La Martelle - Tournezy",3,5FC3E1,,
13,1,"La Navette (13)","Charles de Gaulle - Occitanie Hopitaux – Facultés",3,941B80,FFFFFF,
14,1,"14","Place de l'Europe - Léon Blum",3,F3A08C,,
15,1,"15","Sabines - Gare Montpellier Sud de France",3,BF0D0D,FFFFFF,
16,1,"16","Charles de Gaulle - Port Marianne",3,009EE2,,
17,1,"17","Gare Saint-Roch - Pont de Sète - Les Bouisses",3,DCC900,,
18,1,"18","Montpellier Sabines - Maurin - Lattes Centre",3,E84E24,,
19,1,"19","Pierre de Coubertin - Hôtel du Département",3,FFD400,,
2,1,"2","SAINT-JEAN DE VÉDAS Centre - Notre-Dame de Sablassou / Jacou",0,EF7D00,,
20,1,"20","Parc Font-Colombe - Saint-Jean le Sec",3,009EE2,,
21,1,"21","Notre-Dame de Sablassou - Vendargues - Gare de Baillargues - Saint-Brès Versant",3,FFE500,,
22,1,"22","Collège Pierre Mendès France - Cirad de Baillarguet",3,81CFF4,,
23,1,"23","Clapiers",3,F29100,,
24,1,"24","Grabels : La Valsière - Le Pradas",3,A61680,FFFFFF,
25,1,"25","Juvignac : Le Martinet - Courpouyran",3,904E00,FFFFFF,
26,1,"26","Olympe - Montferrier-sur-Lez",3,306980,FFFFFF,
28,1,"28","Boirargues - Cabanes de Pérols",715,F29100,,
3,1,"3","Juvignac - Lattes Centre / Pérols Étang de l'Or",0,C8D400,,
30,1,"30","Le Crès : Maumarin - Via Domitia - Jean Jaurès",3,F4B4D2,,
31,1,"31","Sablassou-Sussargues-Beaulieu-Restinclières-St-Geniès-Castries-Baillargues",715,A9B400,,
32,1,"32","Montpellier Garcia Lorca - Villeneuve-lès-Maguelone - Saint-Jean le Sec",3,008288,FFFFFF,
33,1,"33","Saint-Jean de Védas Centre - Fabrègues Lou Paillas",3,C7D300,,
34,1,"34","Montpellier Mosson - Pignan - Cournonterral - Cournonsec Les Clavoux",3,729957,FFFFFF,
35,1,"35","Castelnau-le-Lez : Charles de Gaulle - Aube Rouge / Les Aires",715,164193,FFFFFF,
36,1,"36","Charles de Gaulle - Stade de Montaud",3,E20613,FFFFFF,
38,1,"38","Les Clavoux - Grés de Montpellier",3,8C004C,FFFFFF,
4,1,"4","MONTPELLIER - Garcia Lorca",0,4B2A0E,FFFFFF,
6,1,"6","Euromédecine - Albert 1er - Jardin des Plantes",3,E94190,FFFFFF,
7,1,"7","Albert 1er - Jardin des Plantes - Hôtel du Département",3,A777B1,FFFFFF,
8,1,"8","Gare Saint-Roch - Pont de Sète – Centrayrargues",3,FFDC00,,
40,1,"40","Mijoulan – Mosson",3,FFDC00,,
43,1,"43","Saint-Jean de Védas Centre - Saussan - Pignan La Bornière",3,FABC43,,
5,1,"5","Lavérune - Clapiers",0,,,
27,1,"27","Gare de Baillargues - Stade de Montaud",715,E20613,FFFFFF,
42,1,"42","Montpellier Mosson - St-Georges d’Orques - Murviel-lès-Montpellier La Rouvière",715,E5007E,,
44,1,"44","Villeneuve-lès-Maguelone :  Arnel - Gare de Villeneuve-lès-Maguelone",3,E95296,FFFFFF,
46,1,"46","ND de Sablassou - Castries Collège",3,7A1C79,FFFFFF,
52,1,"52","Cimetière Saint-Étienne - Odysseum-Place de France",3,FFE500,,
53,1,"53","Sabines - Saint-Cléophas",3,95C11F,,
A,1,"A","ND de Sablassou - Pl. de l'Europe",3,,,
47,1,"47","Université Montpellier Triolet",3,,,
