from_stop_id,to_stop_id,transfer_type
80,79,0
85,78,0
85,79,0
87,56,0
93,79,0
94,80,0
94,85,0
94,93,0
95,84,0
95,85,0
102,71,0
103,71,0
105,67,0
105,68,0
106,66,0
106,67,0
106,68,0
107,66,0
114,78,0
114,79,0
114,94,0
114,95,0
117,49,0
117,87,0
185,75,0
185,76,0
185,98,0
196,4,0
205,75,0
205,76,0
205,98,0
236,214,0
237,214,0
241,210,0
245,89,0
249,77,0
249,78,0
249,95,0
249,96,0
250,77,0
250,78,0
250,95,0
250,96,0
251,77,0
251,96,0
252,98,0
270,83,0
280,262,0
280,263,0
281,262,0
289,253,0
290,254,0
291,75,0
291,76,0
291,98,0
292,77,0
292,96,0
293,77,0
293,78,0
293,95,0
293,96,0
300,89,0
300,245,0
302,270,0
303,274,0
304,271,0
304,272,0
305,263,0
305,271,0
306,67,0
306,68,0
306,105,0
306,106,0
308,69,0
308,103,0
309,70,0
309,102,0
309,103,0
319,318,0
322,4,0
323,318,0
324,317,0
324,318,0
324,319,0
324,323,0
325,317,0
325,318,0
334,70,0
334,71,0
334,102,0
334,103,0
334,321,0
335,70,0
335,71,0
335,102,0
335,103,0
342,115,0
343,84,0
343,88,0
343,115,0
344,88,0
344,115,0
344,116,0
347,253,0
347,290,0
351,315,0
351,316,0
351,326,0
351,327,0
352,316,0
352,326,0
366,316,0
366,326,0
367,315,0
367,316,0
367,326,0
367,327,0
373,253,0
373,254,0
373,289,0
373,290,0
374,253,0
377,88,0
377,115,0
377,116,0
378,84,0
378,88,0
378,115,0
382,338,0
383,338,0
383,339,0
385,302,0
402,250,0
402,251,0
402,292,0
402,293,0
403,80,0
403,85,0
403,93,0
403,114,0
404,339,0
404,381,0
404,382,0
408,67,0
408,68,0
408,105,0
408,106,0
409,8,0
409,41,0
417,352,0
417,353,0
417,354,0
417,366,0
423,352,0
423,366,0
427,353,0
432,339,0
432,340,0
432,381,0
432,382,0
433,80,0
433,85,0
433,93,0
433,114,0
434,292,0
435,399,0
435,400,0
435,411,0
443,400,0
443,411,0
444,401,0
444,411,0
446,353,0
446,354,0
447,8,0
447,41,0
452,214,0
452,215,0
452,236,0
452,237,0
455,353,0
455,354,0
455,427,0
460,317,0
460,352,0
460,366,0
461,424,0
465,354,0
465,417,0
465,423,0
465,427,0
472,396,0
472,439,0
488,396,0
488,439,0
494,68,0
494,105,0
518,69,0
518,70,0
518,103,0
518,104,0
519,69,0
519,104,0
526,68,0
526,105,0
539,126,0
547,321,0
547,322,0
