id_local,code_com,coordonneesxy,capacite,capacite_cargo,type_accroche,mobilier,mobilier_complement,acces,gratuit,protection,couverture,date_maj,materiaux,coloris,nom_comm
2583,34057,"[3.924278630750278,43.64459514550213]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2584,34057,"[3.9241604630047457,43.64495763650969]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2585,34057,"[3.925211591305631,43.63655808871646]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2586,34057,"[3.925651770153622,43.636283708772794]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2589,34057,"[3.9174265989361046,43.65303522074852]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2564,34172,"[3.8749540330500345,43.6037422770302]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2566,34057,"[3.9152697315685385,43.63619587891201]",26,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2541,34057,"[3.9161906037967618,43.633199642290705]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2565,34172,"[3.898435973984613,43.59983401404352]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
2567,34057,"[3.9162634910408585,43.64502665978515]",4,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2569,34057,"[3.9146958185934784,43.6450533100767]",4,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2594,34090,"[3.935994047106067,43.64275164115215]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Le Crès
2595,34090,"[3.935996809254074,43.643037475736946]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Le Crès
2572,34057,"[3.9102785301175365,43.64474194509911]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2573,34057,"[3.9206132603432637,43.64947798287117]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
2596,34090,"[3.934225351664444,43.640052802586034]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Le Crès
1051,34172,"[3.9070003088715133,43.60413774427872]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
