id,nom,intensite,lat,lon
urn:ngsi-ld:EcoCounter:XTH19101158,,3,3.874408,43.61621
urn:ngsi-ld:EcoCounter:X2H22104775,,0,3.8776,43.6001
urn:ngsi-ld:EcoCounter:X2H20042632,,0,3.81324,43.5907
urn:ngsi-ld:EcoCounter:X2H20063164,,0,3.8956287,43.626698
urn:ngsi-ld:EcoCounter:X2H19070220,,26,3.89694,43.6097
urn:ngsi-ld:EcoCounter:X2H22104771,,0,3.9089,43.6233
urn:ngsi-ld:EcoCounter:X2H21070350,,0,3.887153,43.539352
urn:ngsi-ld:EcoCounter:X2H21070349,,20,3.852038,43.63199
urn:ngsi-ld:EcoCounter:X2H21070348,,2,3.913589,43.610302
urn:ngsi-ld:EcoCounter:X2H22104766,,0,3.8224,43.6452
urn:ngsi-ld:EcoCounter:X2H21070343,,0,3.867914,43.67179
urn:ngsi-ld:EcoCounter:X2H20042635,,0,3.93324,43.57883
urn:ngsi-ld:EcoCounter:X2H22043030,,0,3.8156247,43.614933
urn:ngsi-ld:EcoCounter:X2H22043035,,1,3.86779,43.60383
urn:ngsi-ld:EcoCounter:X2H22043033,,2,3.89867,43.59888
urn:ngsi-ld:EcoCounter:XTH21070328,,0,3.900942,43.660053
urn:ngsi-ld:EcoCounter:X2H22104772,,0,3.9089,43.6232
urn:ngsi-ld:EcoCounter:X2H22104777,,1,3.8847,43.614
urn:ngsi-ld:EcoCounter:X2H21070342,,1,3.85339,43.62387
urn:ngsi-ld:EcoCounter:X2H21070346,,0,3.913031,43.671215
urn:ngsi-ld:EcoCounter:X2H20063163,,6,3.8956287,43.626698
urn:ngsi-ld:EcoCounter:X2H22043034,,0,3.8677,43.60381
urn:ngsi-ld:EcoCounter:X2H21111120,,11,3.8683,43.6167
urn:ngsi-ld:EcoCounter:X2H22104767,,2,3.915,43.6316
urn:ngsi-ld:EcoCounter:X2H20042634,,0,3.93327,43.57926
urn:ngsi-ld:EcoCounter:X2H22043029,,0,3.855992,43.64891
urn:ngsi-ld:EcoCounter:X2H22104765,,0,3.6988,43.538
urn:ngsi-ld:EcoCounter:X2H22104768,,8,3.8899,43.6115
urn:ngsi-ld:EcoCounter:X2H22104773,,1,3.8981,43.614
urn:ngsi-ld:EcoCounter:X2H20042633,,5,3.8336,43.61465
urn:ngsi-ld:EcoCounter:X2H22104774,,0,3.8981,43.614
urn:ngsi-ld:EcoCounter:X2H22104769,,1,3.8617,43.5754
urn:ngsi-ld:EcoCounter:XTH21015106,,1,3.800261,43.589825
urn:ngsi-ld:EcoCounter:X2H21070347,,0,3.867914,43.67179
urn:ngsi-ld:EcoCounter:X2H21070344,,38,3.863965,43.606274
urn:ngsi-ld:EcoCounter:X2H22104770,,0,3.8684704,43.613808
urn:ngsi-ld:EcoCounter:X2H22043032,,0,3.9297264,43.63751
urn:ngsi-ld:EcoCounter:X2H21111121,,29,3.87009,43.61464
urn:ngsi-ld:EcoCounter:X2H20063161,,4,3.9096322,43.61574
urn:ngsi-ld:EcoCounter:X2H21070345,,1,3.859721,43.5852
urn:ngsi-ld:EcoCounter:X2H21070341,,17,3.85339,43.62387
