id,nom,intensite,lat,lon
urn:ngsi-ld:EcoCounter:XTH19101158,XTH19101158,3,43.61621,3.874408
urn:ngsi-ld:EcoCounter:X2H22104775,X2H22104775,0,43.6001,3.8776
urn:ngsi-ld:EcoCounter:X2H20042632,X2H20042632,0,43.5907,3.81324
urn:ngsi-ld:EcoCounter:X2H20063164,X2H20063164,0,43.626698,3.8956287
urn:ngsi-ld:EcoCounter:X2H19070220,X2H19070220,26,43.6097,3.89694
urn:ngsi-ld:EcoCounter:X2H22104771,X2H22104771,0,43.6233,3.9089
urn:ngsi-ld:EcoCounter:X2H21070350,X2H21070350,0,43.539352,3.887153
urn:ngsi-ld:EcoCounter:X2H21070349,X2H21070349,20,43.63199,3.852038
urn:ngsi-ld:EcoCounter:X2H21070348,X2H21070348,2,43.610302,3.913589
urn:ngsi-ld:EcoCounter:X2H22104766,X2H22104766,0,43.6452,3.8224
urn:ngsi-ld:EcoCounter:X2H21070343,X2H21070343,0,43.67179,3.867914
urn:ngsi-ld:EcoCounter:X2H20042635,X2H20042635,0,43.57883,3.93324
urn:ngsi-ld:EcoCounter:X2H22043030,X2H22043030,0,43.614933,3.8156247
urn:ngsi-ld:EcoCounter:X2H22043035,X2H22043035,1,43.60383,3.86779
urn:ngsi-ld:EcoCounter:X2H22043033,X2H22043033,2,43.59888,3.89867
urn:ngsi-ld:EcoCounter:XTH21070328,XTH21070328,0,43.660053,3.900942
urn:ngsi-ld:EcoCounter:X2H22104772,X2H22104772,0,43.6232,3.9089
urn:ngsi-ld:EcoCounter:X2H22104777,X2H22104777,1,43.614,3.8847
urn:ngsi-ld:EcoCounter:X2H21070342,X2H21070342,1,43.62387,3.85339
urn:ngsi-ld:EcoCounter:X2H21070346,X2H21070346,0,43.671215,3.913031
urn:ngsi-ld:EcoCounter:X2H20063163,X2H20063163,6,43.626698,3.8956287
urn:ngsi-ld:EcoCounter:X2H22043034,X2H22043034,0,43.60381,3.8677
urn:ngsi-ld:EcoCounter:X2H21111120,X2H21111120,11,43.6167,3.8683
urn:ngsi-ld:EcoCounter:X2H22104767,X2H22104767,2,43.6316,3.915
urn:ngsi-ld:EcoCounter:X2H20042634,X2H20042634,0,43.57926,3.93327
urn:ngsi-ld:EcoCounter:X2H22043029,X2H22043029,0,43.64891,3.855992
urn:ngsi-ld:EcoCounter:X2H22104765,X2H22104765,0,43.538,3.6988
urn:ngsi-ld:EcoCounter:X2H22104768,X2H22104768,8,43.6115,3.8899
urn:ngsi-ld:EcoCounter:X2H22104773,X2H22104773,1,43.614,3.8981
urn:ngsi-ld:EcoCounter:X2H20042633,X2H20042633,5,43.61465,3.8336
urn:ngsi-ld:EcoCounter:X2H22104774,X2H22104774,0,43.614,3.8981
urn:ngsi-ld:EcoCounter:X2H22104769,X2H22104769,1,43.5754,3.8617
urn:ngsi-ld:EcoCounter:XTH21015106,XTH21015106,1,43.589825,3.800261
urn:ngsi-ld:EcoCounter:X2H21070347,X2H21070347,0,43.67179,3.867914
urn:ngsi-ld:EcoCounter:X2H21070344,X2H21070344,38,43.606274,3.863965
urn:ngsi-ld:EcoCounter:X2H22104770,X2H22104770,0,43.613808,3.8684704
urn:ngsi-ld:EcoCounter:X2H22043032,X2H22043032,0,43.63751,3.9297264
urn:ngsi-ld:EcoCounter:X2H21111121,X2H21111121,29,43.61464,3.87009
urn:ngsi-ld:EcoCounter:X2H20063161,X2H20063161,4,43.61574,3.9096322
urn:ngsi-ld:EcoCounter:X2H21070345,X2H21070345,1,43.5852,3.859721
urn:ngsi-ld:EcoCounter:X2H21070341,X2H21070341,17,43.62387,3.85339
urn:ngsi-ld:EcoCounter:X2H22043031,X2H22043031,0,43.6376,3.929538
urn:ngsi-ld:EcoCounter:X2H20063162,X2H20063162,12,43.613884,3.868467
urn:ngsi-ld:EcoCounter:X2H21070351,X2H21070351,1,43.58435,3.907998
urn:ngsi-ld:EcoCounter:X2H22104776,X2H22104776,0,43.6001,3.8776
urn:ngsi-ld:EcoCounter:X2H20104132,X2H20104132,0,43.62959,3.89379
urn:ngsi-ld:EcoCounter:XAH23111501,XAH23111501,1,43.660053,3.900942
urn:ngsi-ld:EcoCounter:867228050089043,867228050089043,27,43.59705,3.8838003
urn:ngsi-ld:EcoCounter:867228050089217,867228050089217,49,43.60975,3.8985744
urn:ngsi-ld:EcoCounter:867228050089787,867228050089787,54,43.62364,3.8922596
urn:ngsi-ld:EcoCounter:867228050089159,867228050089159,1,43.584373,3.8610432
urn:ngsi-ld:EcoCounter:867228050092989,867228050092989,11,43.608955,3.841698
urn:ngsi-ld:EcoCounter:ED223110501,ED223110501,1,43.584377,3.8610451
urn:ngsi-ld:EcoCounter:ED223110497,ED223110497,8,43.596973,3.8837383
urn:ngsi-ld:EcoCounter:ED223110495,ED223110495,45,43.6236,3.8922825
urn:ngsi-ld:EcoCounter:ED223110500,ED223110500,7,43.60895,3.8417304
urn:ngsi-ld:EcoCounter:ED223110496,ED223110496,39,43.609722,3.8985717
urn:ngsi-ld:EcoCounter:XTH24072390,XTH24072390,0,43.660053,3.900942
urn:ngsi-ld:EcoCounter:X2H24042101,X2H24042101,3,43.5907,3.81324
urn:ngsi-ld:EcoCounter:ED223110494,ED223110494,0,43.655155,3.935122
urn:ngsi-ld:EcoCounter:D223110499,D223110499,0,43.53385,3.86086
urn:ngsi-ld:EcoCounter:ED223110499,ED223110499,0,43.53849,3.870437
urn:ngsi-ld:EcoCounter:X2H25023006,X2H25023006,0,43.539352,3.887153
urn:ngsi-ld:EcoCounter:ZLT25011699,ZLT25011699,25,43.61558,3.9091
urn:ngsi-ld:EcoCounter:COM23120112,COM23120112,12,43.608948,3.8416345
urn:ngsi-ld:EcoCounter:COM23120113,COM23120113,54,43.623657,3.8922434
urn:ngsi-ld:EcoCounter:COM23120117,COM23120117,1,43.65515,3.935133
urn:ngsi-ld:EcoCounter:COM23120114,COM23120114,75,43.609684,3.898649
urn:ngsi-ld:EcoCounter:COM23120111,COM23120111,19,43.59704,3.8837109
