FID,objectid,code_abri_velo,nom_abri_velo,adresse,code_postal,code_insee,commune,capacite,mise_en_service,longitude,latitude,mode_abri,equipement_associe,horaire_ouverture,geom
abri_velo.15,15,A21,Loos - Mairie,2 Square Eugène Thomas,59120,59360,Loos,18,2016-04-01,3.012336,50.614588,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.614588 3.012336)
abri_velo.16,16,A29,Marcq-en-Baroeul - Cerisaie,Avenue de la Marne,59700,59378,Marcq-en-Barœul,28,2025-03-01,3.111562,50.678116,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.678116 3.111562)
abri_velo.17,17,A15,Marcq-en-Baroeul - Croisé Laroche,Place Lisefranc,59700,59378,Marcq-en-Barœul,18,2014-09-01,3.103728,50.665991,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.665991 3.103728)
abri_velo.18,18,A18,Mons-en-Baroeul - Mairie,27 Avenue Robert Schuman,59370,59410,Mons-en-Barœul,28,2015-08-01,3.1101,50.642837,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.642837 3.1101)
abri_velo.19,19,A16,Mouvaux - 3 Suisses,6 Boulevard de la Marne,59420,59421,Mouvaux,18,2014-09-01,3.138302,50.69899,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.69899 3.138302)
abri_velo.20,20,A7,Quesnoy-sur-Deûle  - Mairie,5 Rue du Président Poincaré,59890,59482,Quesnoy-sur-Deûle,18,2013-06-01,3.000769,50.712951,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.712951 3.000769)
abri_velo.21,21,A10,Ronchin - Mairie,650 Avenue Jean Jaurès,59790,59507,Ronchin,28,2013-11-01,3.077856,50.605669,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.605669 3.077856)
abri_velo.22,22,A25,Roubaix - Épeule Montesquieu,210 rue de Lille,59100,59512,Roubaix,28,2017-04-01,3.162923,50.68397,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.68397 3.162923)
abri_velo.33,33,A4,Wasquehal - Pavé de Lille,101 Avenue de Flandre,59290,59646,Wasquehal,28,2013-05-01,3.130022,50.664155,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.664155 3.130022)
abri_velo.34,34,A9,Wattignies - Laënnec,1 Avenue Charles Guillain,59139,59648,Wattignies,28,2013-09-01,3.050619,50.589018,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.589018 3.050619)
abri_velo.35,35,A11,Wattrelos - Centre,31 Contour Saint-Maclou,59150,59650,Wattrelos,18,2013-12-01,3.214476,50.701454,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.701454 3.214476)
abri_velo.1,1,H1,Armentières - Gare,Rue de Comines,59280,59017,Armentières,70,,2.877374,50.680972,Humanisé,,"Lundi-Vendredi : 04:45 - 00:30, Samedi : 05:45 - 00:30",POINT (50.680972 2.877374)
abri_velo.2,2,A23,Comines - Centre,12 avenue de Versailles,59560,59152,Comines,28,2016-10-01,3.011547,50.761928,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.761928 3.011547)
abri_velo.3,3,A6,Croix - Centre,Rue de la Fonderie,59170,59163,Croix,68,2013-05-01,3.145916,50.674954,Automatisé,Système de gonflage,"24h/24h, 7j/7j",POINT (50.674954 3.145916)
