FID,objectid,mode_transport,libelle_arret_commercial,code_arret_physique,url_plan,code_insee,commune
cartographie_station.1,1,Tramway,LE QUESNE,LQS001,media.ilevia.fr/opendata/cartographie/Tramway_LQS001_Le quesne.pdf,59378,Marcq-en-Barœul
cartographie_station.2,2,Tramway,LE QUESNE,LQS012,media.ilevia.fr/opendata/cartographie/Tramway_LQS012_Le quesne.pdf,59378,Marcq-en-Barœul
cartographie_station.3,3,Tramway,CLEMENCEAU HIPPODROME,MCL031,media.ilevia.fr/opendata/cartographie/Tramway_MCL031_Clemenceau hippodrome.pdf,59378,Marcq-en-Barœul
cartographie_station.4,4,Tramway,CLEMENCEAU HIPPODROME,MCL032,media.ilevia.fr/opendata/cartographie/Tramway_MCL032_Clemenceau hippodrome.pdf,59378,Marcq-en-Barœul
cartographie_station.5,5,Tramway,ACACIAS,ACA001,media.ilevia.fr/opendata/cartographie/Tramway_ACA001_Acacias.pdf,59378,Marcq-en-Barœul
cartographie_station.6,6,Tramway,ACACIAS,ACA012,media.ilevia.fr/opendata/cartographie/Tramway_ACA012_Acacias.pdf,59378,Marcq-en-Barœul
cartographie_station.7,7,Tramway,FOCH,OCH021,media.ilevia.fr/opendata/cartographie/Tramway_OCH021_Foch.pdf,59378,Marcq-en-Barœul
cartographie_station.8,8,Tramway,FOCH,OCH032,media.ilevia.fr/opendata/cartographie/Tramway_OCH032_Foch.pdf,59378,Marcq-en-Barœul
cartographie_station.9,9,Tramway,CHATEAU ROUGE,CTR021,media.ilevia.fr/opendata/cartographie/Tramway_CTR021_Château Rouge.pdf,59378,Marcq-en-Barœul
cartographie_station.10,10,Tramway,CHATEAU ROUGE,CTR032,media.ilevia.fr/opendata/cartographie/Tramway_CTR032_Château Rouge.pdf,59378,Marcq-en-Barœul
cartographie_station.11,11,Tramway,BROSSOLETTE,OSS001,media.ilevia.fr/opendata/cartographie/Tramway_OSS001_Brossolette.pdf,59378,Marcq-en-Barœul
cartographie_station.12,12,Tramway,BROSSOLETTE,OSS012,media.ilevia.fr/opendata/cartographie/Tramway_OSS012_Brossolette.pdf,59378,Marcq-en-Barœul
cartographie_station.13,13,Tramway,CROISÉ LAROCHE,CRL021,media.ilevia.fr/opendata/cartographie/Tramway_CRL021_Croise laroche.pdf,59378,Marcq-en-Barœul
cartographie_station.14,14,Tramway,CROISÉ LAROCHE,CRL032,media.ilevia.fr/opendata/cartographie/Tramway_CRL032_Croise laroche.pdf,59378,Marcq-en-Barœul
cartographie_station.15,15,Tramway,BUISSON,MAB021,media.ilevia.fr/opendata/cartographie/Tramway_MAB021_Buisson.pdf,59378,Marcq-en-Barœul
cartographie_station.16,16,Tramway,BUISSON,MAB032,media.ilevia.fr/opendata/cartographie/Tramway_MAB032_Buisson.pdf,59378,Marcq-en-Barœul
cartographie_station.17,17,Tramway,FAIDHERBE,DAI001,media.ilevia.fr/opendata/cartographie/Tramway_DAI001_Faidherbe.pdf,59421,Mouvaux
cartographie_station.18,18,Tramway,FAIDHERBE,DAI012,media.ilevia.fr/opendata/cartographie/Tramway_DAI012_Faidherbe.pdf,59421,Mouvaux
cartographie_station.19,19,Tramway,TROIS SUISSES,3SU021,media.ilevia.fr/opendata/cartographie/Tramway_3SU021_Trois Suisses.pdf,59421,Mouvaux
cartographie_station.20,20,Tramway,TROIS SUISSES,3SU032,media.ilevia.fr/opendata/cartographie/Tramway_3SU032_Trois Suisses.pdf,59421,Mouvaux
