FID,objectid,code_abri_velo,code_insee,annee,mois,date_comptage,nom_jour_comptage,moyenne_nombre_velos,commune,nom_abri_velo,latitude,longitude,geom
comptage_abri_velo.32498,32498,H3,59350,2025,10,2025-10-18,Samedi,6.6,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32499,32499,H2,59350,2025,6,2025-06-05,Jeudi,5.22,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32500,32500,H4,59524,2025,12,2025-12-16,Mardi,16,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32501,32501,A14,59599,2025,7,2025-07-09,Mercredi,21,Tourcoing,Tourcoing - Centre,50.720457,3.158724,POINT (50.720457 3.158724)
comptage_abri_velo.32502,32502,H6,59009,2025,11,2025-11-28,Vendredi,29.78,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32503,32503,H4,59524,2025,9,2025-09-19,Vendredi,14.25,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32504,32504,H1,59017,2025,11,2025-11-04,Mardi,49,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32505,32505,H3,59350,2025,10,2025-10-29,Mercredi,7.3,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32506,32506,H2,59350,2025,6,2025-06-12,Jeudi,5.4,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32507,32507,H3,59350,2025,7,2025-07-02,Mercredi,8.36,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32508,32508,H2,59350,2025,8,2025-08-19,Mardi,5.91,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32509,32509,A22,59560,2025,8,2025-08-21,Jeudi,4.71,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32510,32510,H2,59350,2025,7,2025-07-07,Lundi,7.44,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32511,32511,H6,59009,2025,9,2025-09-22,Lundi,32.11,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32512,32512,H3,59350,2025,6,2025-06-17,Mardi,10.8,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32513,32513,H1,59017,2025,12,2025-12-14,Dimanche,18,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32514,32514,H6,59009,2025,12,2025-12-13,Samedi,27.67,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32515,32515,H5,59009,2025,7,2025-07-26,Samedi,57.45,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32516,32516,H5,59009,2025,12,2025-12-11,Jeudi,38.57,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32517,32517,A22,59560,2025,10,2025-10-13,Lundi,8.33,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32518,32518,H5,59009,2025,10,2025-10-10,Vendredi,55,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32519,32519,H2,59350,2025,9,2025-09-23,Mardi,5.6,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32520,32520,A22,59560,2025,12,2025-12-05,Vendredi,4.14,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32521,32521,H4,59524,2025,12,2025-12-29,Lundi,6,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32522,32522,H1,59017,2025,4,2025-04-26,Samedi,26.25,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32523,32523,H3,59350,2025,8,2025-08-20,Mercredi,11.38,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32524,32524,H6,59009,2025,12,2025-12-15,Lundi,27.78,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32525,32525,H2,59350,2025,12,2025-12-10,Mercredi,4.7,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32526,32526,H6,59009,2025,7,2025-07-23,Mercredi,29.3,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32527,32527,H4,59524,2025,11,2025-11-03,Lundi,18.29,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32528,32528,H5,59009,2025,6,2025-06-26,Jeudi,59.57,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32529,32529,H1,59017,2025,10,2025-10-30,Jeudi,28,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32530,32530,H1,59017,2025,8,2025-08-19,Mardi,22.5,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32531,32531,H2,59350,2025,12,2025-12-28,Dimanche,4,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32532,32532,H3,59350,2025,8,2025-08-14,Jeudi,6.25,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32533,32533,H1,59017,2025,9,2025-09-01,Lundi,41.25,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32534,32534,H6,59009,2025,12,2025-12-08,Lundi,29.78,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32535,32535,H1,59017,2025,12,2025-12-02,Mardi,22,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32536,32536,A22,59560,2025,12,2025-12-12,Vendredi,5.5,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32537,32537,H1,59017,2025,7,2025-07-19,Samedi,23.44,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32538,32538,H3,59350,2025,12,2025-12-04,Jeudi,11,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32539,32539,H1,59017,2025,9,2025-09-09,Mardi,38,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32540,32540,A13,59299,2025,4,2025-04-22,Mardi,3,Hem,Hem - 3 Fermes,50.662576,3.200574,POINT (50.662576 3.200574)
comptage_abri_velo.32541,32541,H6,59009,2025,5,2025-05-25,Dimanche,25,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32542,32542,H1,59017,2025,5,2025-05-09,Vendredi,27.22,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32543,32543,H5,59009,2025,7,2025-07-07,Lundi,59.1,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32544,32544,H3,59350,2025,7,2025-07-20,Dimanche,5,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32545,32545,H1,59017,2025,7,2025-07-01,Mardi,39,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32546,32546,A22,59560,2025,11,2025-11-05,Mercredi,11,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32547,32547,H4,59524,2025,4,2025-04-10,Jeudi,13.13,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32548,32548,A25,59512,2025,8,2025-08-11,Lundi,3,Roubaix,Roubaix - Épeule Montesquieu,50.68397,3.162923,POINT (50.68397 3.162923)
comptage_abri_velo.32549,32549,H6,59009,2025,5,2025-05-15,Jeudi,29.8,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32550,32550,H3,59350,2025,5,2025-05-06,Mardi,11.5,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32551,32551,H2,59350,2025,4,2025-04-17,Jeudi,5.09,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32552,32552,H5,59009,2025,9,2025-09-15,Lundi,54.86,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32553,32553,H5,59009,2025,4,2025-04-05,Samedi,49.9,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32554,32554,A8,59636,2025,10,2025-10-21,Mardi,10,Wambrechies,Wambrechies - Mairie,50.686433,3.053429,POINT (50.686433 3.053429)
comptage_abri_velo.32555,32555,A18,59410,2025,10,2025-10-08,Mercredi,22,Mons-en-Barœul,Mons-en-Baroeul - Mairie,50.642837,3.1101,POINT (50.642837 3.1101)
comptage_abri_velo.32556,32556,H4,59524,2025,5,2025-05-19,Lundi,16.63,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32557,32557,A17,59279,2025,11,2025-11-14,Vendredi,8,Halluin,Halluin - Centre,50.780946,3.119719,POINT (50.780946 3.119719)
comptage_abri_velo.32558,32558,A9,59648,2025,7,2025-07-28,Lundi,7,Wattignies,Wattignies - Laënnec,50.589018,3.050619,POINT (50.589018 3.050619)
comptage_abri_velo.32559,32559,A22,59560,2025,8,2025-08-04,Lundi,2.75,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32560,32560,H5,59009,2025,4,2025-04-21,Lundi,53.29,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32561,32561,H3,59350,2025,10,2025-10-31,Vendredi,7.27,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32562,32562,H5,59009,2025,7,2025-07-01,Mardi,56.29,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32563,32563,H3,59350,2025,5,2025-05-11,Dimanche,5,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32564,32564,A22,59560,2025,6,2025-06-12,Jeudi,9.25,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32565,32565,A8,59636,2025,9,2025-09-17,Mercredi,9,Wambrechies,Wambrechies - Mairie,50.686433,3.053429,POINT (50.686433 3.053429)
comptage_abri_velo.32566,32566,A18,59410,2025,9,2025-09-25,Jeudi,22,Mons-en-Barœul,Mons-en-Baroeul - Mairie,50.642837,3.1101,POINT (50.642837 3.1101)
comptage_abri_velo.32567,32567,H3,59350,2025,9,2025-09-15,Lundi,11.56,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32568,32568,H3,59350,2025,11,2025-11-20,Jeudi,10.1,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32569,32569,H1,59017,2025,5,2025-05-28,Mercredi,26.83,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32570,32570,A5,59350,2025,4,2025-04-11,Vendredi,15,Lille,Lomme - Maison des Enfants,50.646144,2.994472,POINT (50.646144 2.994472)
comptage_abri_velo.32571,32571,H6,59009,2025,8,2025-08-30,Samedi,27.3,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32572,32572,H5,59009,2025,7,2025-07-02,Mercredi,51.21,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32573,32573,H2,59350,2025,9,2025-09-09,Mardi,5.6,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32574,32574,A3,59009,2025,4,2025-04-23,Mercredi,10,Villeneuve-d'Ascq,Villeneuve d'Ascq - Pont de Bois,50.624619,3.127947,POINT (50.624619 3.127947)
comptage_abri_velo.32575,32575,H4,59524,2025,7,2025-07-21,Lundi,11.75,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32576,32576,H3,59350,2025,9,2025-09-07,Dimanche,8.64,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32577,32577,H1,59017,2025,6,2025-06-01,Dimanche,23.4,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32578,32578,A12,59368,2025,4,2025-04-08,Mardi,11,La Madeleine,La Madeleine - Romarin,50.645694,3.075042,POINT (50.645694 3.075042)
comptage_abri_velo.32579,32579,H3,59350,2025,5,2025-05-22,Jeudi,9.57,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32580,32580,A9,59648,2025,8,2025-08-12,Mardi,8,Wattignies,Wattignies - Laënnec,50.589018,3.050619,POINT (50.589018 3.050619)
comptage_abri_velo.32581,32581,A3,59009,2025,12,2025-12-10,Mercredi,12,Villeneuve-d'Ascq,Villeneuve d'Ascq - Pont de Bois,50.624619,3.127947,POINT (50.624619 3.127947)
comptage_abri_velo.32582,32582,H3,59350,2025,11,2025-11-03,Lundi,14,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32583,32583,A22,59560,2025,4,2025-04-20,Dimanche,2,Seclin,Seclin - Gare,50.547452,3.034268,POINT (50.547452 3.034268)
comptage_abri_velo.32584,32584,A21,59360,2025,9,2025-09-07,Dimanche,7,Loos,Loos - Mairie,50.614588,3.012336,POINT (50.614588 3.012336)
comptage_abri_velo.32585,32585,H1,59017,2025,5,2025-05-06,Mardi,20,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32586,32586,A25,59512,2025,5,2025-05-22,Jeudi,3,Roubaix,Roubaix - Épeule Montesquieu,50.68397,3.162923,POINT (50.68397 3.162923)
comptage_abri_velo.32587,32587,H6,59009,2025,10,2025-10-10,Vendredi,29.6,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32588,32588,H2,59350,2025,7,2025-07-12,Samedi,3.8,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32589,32589,H6,59009,2025,11,2025-11-23,Dimanche,28,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32590,32590,H5,59009,2025,9,2025-09-19,Vendredi,58.52,Villeneuve-d'Ascq,Villeneuve d'Ascq - 4 Cantons Stade Pierre Mauroy,50.605006,3.139401,POINT (50.605006 3.139401)
comptage_abri_velo.32591,32591,H1,59017,2025,8,2025-08-12,Mardi,26.1,Armentières,Armentières - Gare,50.680972,2.877374,POINT (50.680972 2.877374)
comptage_abri_velo.32592,32592,H2,59350,2025,7,2025-07-30,Mercredi,3.3,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
comptage_abri_velo.32593,32593,H4,59524,2025,12,2025-12-10,Mercredi,14.88,Sainghin-en-Weppes,Sainghin-en-Weppes - Don Sainghin,50.55142,2.914022,POINT (50.55142 2.914022)
comptage_abri_velo.32594,32594,H3,59350,2025,4,2025-04-16,Mercredi,7.22,Lille,Lomme - Saint Philibert,50.653009,2.97502,POINT (50.653009 2.97502)
comptage_abri_velo.32595,32595,H6,59009,2025,10,2025-10-20,Lundi,29.11,Villeneuve-d'Ascq,Villeneuve d'Ascq - Les Prés Edgard Pisani,50.650048,3.125509,POINT (50.650048 3.125509)
comptage_abri_velo.32596,32596,H2,59350,2025,5,2025-05-27,Mardi,4.8,Lille,Lille - C.H.U. Eurasanté,50.607865,3.040099,POINT (50.607865 3.040099)
