station_id,nom,lat,lon,velos_dispo,nb_places_dispo,commune,etat,ville,nb_emprunts,usage_score,cluster
317,Gare d'eau,50.62911,3.02139,7,7,Lille,EN SERVICE,Lille,0.0,0.0,0
318,Hellu - Épine,50.61946,3.09978,8,6,Hellemmes,EN SERVICE,Lille,0.0,0.0,0
316,Ramponneau,50.6399,3.05323,4,16,Lille,EN SERVICE,Lille,0.0,0.0,0
40,Metro Gambetta,50.62614,3.051729,14,14,Lille,EN SERVICE,Lille,35444.0,0.6343445190156599,0
40,Metro Gambetta,50.62614,3.051729,14,14,Lille,EN SERVICE,Lille,6014.0,0.1076331096196868,0
73,St Maurice Pellevoisin,50.642315,3.087979,8,16,Lille,EN SERVICE,Lille,10785.0,0.19302013422818792,0
73,St Maurice Pellevoisin,50.642315,3.087979,8,16,Lille,EN SERVICE,Lille,2020.0,0.03615212527964206,0
77,Mont de Terre,50.62286,3.0914,3,15,Lille,EN SERVICE,Lille,12619.0,0.2258434004474273,0
77,Mont de Terre,50.62286,3.0914,3,15,Lille,EN SERVICE,Lille,2224.0,0.039803131991051455,0
78,Hotel de Police,50.615536,3.048518,7,11,Lille,EN SERVICE,Lille,13923.0,0.2491812080536913,0
78,Hotel de Police,50.615536,3.048518,7,11,Lille,EN SERVICE,Lille,2211.0,0.03957046979865772,0
86,Roger Salengro,50.62903,3.10295,2,10,Lille,EN SERVICE,Lille,3429.0,0.061369127516778525,0
86,Roger Salengro,50.62903,3.10295,2,10,Lille,EN SERVICE,Lille,478.0,0.008554809843400447,0
114,Bois Habite,50.62651,3.079211,12,5,Lille,EN SERVICE,Lille,14105.0,0.2524384787472036,0
114,Bois Habite,50.62651,3.079211,12,5,Lille,EN SERVICE,Lille,2174.0,0.0389082774049217,0
151,Ch. des Margueritois,50.60642,3.072209,5,8,Ronchin,EN SERVICE,Lille,3135.0,0.05610738255033557,0
151,Ch. des Margueritois,50.60642,3.072209,5,8,Ronchin,EN SERVICE,Lille,468.0,0.008375838926174497,0
261,Phalempins,50.732406,3.157764,3,11,Tourcoing,EN SERVICE,Lille,152.0,0.002720357941834452,1
261,Phalempins,50.732406,3.157764,3,11,Tourcoing,EN SERVICE,Lille,28.0,0.0005011185682326621,1
265,Croix Centre,50.67441,3.14721,7,9,Croix,EN SERVICE,Lille,1920.0,0.03436241610738255,1
265,Croix Centre,50.67441,3.14721,7,9,Croix,EN SERVICE,Lille,403.0,0.007212527964205817,1
266,Mairie de Quartier Ouest,50.6875,3.158559,0,12,Roubaix,IN_MAINTENANCE,Lille,81.0,0.0014496644295302014,1
267,Fer à cheval,50.670155,3.154898,7,13,Roubaix,EN SERVICE,Lille,2313.0,0.041395973154362414,1
267,Fer à cheval,50.670155,3.154898,7,13,Roubaix,EN SERVICE,Lille,425.0,0.007606263982102908,1
268,Blanchemaille,50.696909,3.168664,2,6,Roubaix,EN SERVICE,Lille,150.0,0.0026845637583892616,1
268,Blanchemaille,50.696909,3.168664,2,6,Roubaix,EN SERVICE,Lille,45.0,0.0008053691275167785,1
269,Delory Barbieux,50.676665,3.167315,0,20,Roubaix,IN_MAINTENANCE,Lille,3562.0,0.06374944071588366,1
269,Delory Barbieux,50.676665,3.167315,0,20,Roubaix,IN_MAINTENANCE,Lille,193.0,0.00345413870246085,1
270,Pavé de Lille,50.664211,3.130098,7,13,Wasquehal,EN SERVICE,Lille,1820.0,0.03257270693512304,1
270,Pavé de Lille,50.664211,3.130098,7,13,Wasquehal,EN SERVICE,Lille,263.0,0.004706935123042506,1
271,Wasquehal Hotel de ville,50.669917,3.13075,5,14,Wasquehal,EN SERVICE,Lille,763.0,0.013655480984340045,1
271,Wasquehal Hotel de ville,50.669917,3.13075,5,14,Wasquehal,EN SERVICE,Lille,151.0,0.0027024608501118566,1
272,Charles Fourier,50.671609,3.183066,10,2,Roubaix,EN SERVICE,Lille,609.0,0.010899328859060402,1
272,Charles Fourier,50.671609,3.183066,10,2,Roubaix,EN SERVICE,Lille,131.0,0.0023445190156599553,1
273,Piscine des 3 Villes,50.670865,3.198875,7,7,Hem,EN SERVICE,Lille,123.0,0.0022013422818791947,1
273,Piscine des 3 Villes,50.670865,3.198875,7,7,Hem,EN SERVICE,Lille,29.0,0.0005190156599552573,1
274,Calmette,50.667847,3.192974,3,5,Hem,EN SERVICE,Lille,130.0,0.0023266219239373603,1
274,Calmette,50.667847,3.192974,3,5,Hem,EN SERVICE,Lille,13.0,0.00023266219239373602,1
276,Georges Hannart,50.67756,3.14019,9,11,Croix,EN SERVICE,Lille,869.0,0.015552572706935124,1
276,Georges Hannart,50.67756,3.14019,9,11,Croix,EN SERVICE,Lille,94.0,0.0016823266219239373,1
300,Rousseau,50.64466,3.03027,6,14,Lambersart,EN SERVICE,Lille,5566.0,0.09961521252796421,0
300,Rousseau,50.64466,3.03027,6,14,Lambersart,EN SERVICE,Lille,970.0,0.017360178970917226,0
3,Jardin Vauban,50.636093,3.050447,6,12,Lille,DÉCONNECTÉ,Lille,15929.0,0.285082774049217,0
3,Jardin Vauban,50.636093,3.050447,6,12,Lille,DÉCONNECTÉ,Lille,3070.0,0.05494407158836689,0
9,Rue de Toul,50.63393,3.044986,17,19,Lille,EN SERVICE,Lille,28765.0,0.5148098434004474,0
9,Rue de Toul,50.63393,3.044986,17,19,Lille,EN SERVICE,Lille,5994.0,0.1072751677852349,0
32,Place aux Bleuets,50.64142,3.067873,7,9,Lille,EN SERVICE,Lille,8439.0,0.15103355704697988,0
32,Place aux Bleuets,50.64142,3.067873,7,9,Lille,EN SERVICE,Lille,1240.0,0.022192393736017897,0
50,Rue d'Arras,50.62224,3.067004,1,24,Lille,EN SERVICE,Lille,22152.0,0.3964563758389262,0
