FID,objectid,id,nom,adresse,ville,code_insee,etat,txt_aff,nbr_total,nbr_libre,dtdate,longitude,latitude,geom
parking.1,1,LIL0001,République ,Place de la République,LILLE,59350,OUVERT,130,290,132,2026-05-27T10:40:00,3.062724,50.631027,POINT (704445.415162425 7059340.51105423)
parking.2,2,LIL0002,Plaza,Rue Nationale,LILLE,59350,COMPLET,COMPLET,323,3,2026-05-27T10:40:00,3.058334,50.635122,POINT (704133.963793847 7059796.51216545)
parking.3,3,LIL0003,Tanneurs,Rue du Molinel,LILLE,59350,OUVERT,275,563,276,2026-05-27T10:40:00,3.067235,50.634257,POINT (704764.808824554 7059700.63733614)
parking.4,4,LIL0004,Grand Palais,Boulevard des Citées Unies,LILLE,59350,OUVERT,1010,1182,1014,2026-05-27T10:40:00,3.078601,50.631481,POINT (705570.611236071 7059392.02250099)
parking.5,5,LIL0005,Lille Flandres,Rue de Tournai,LILLE,59350,COMPLET,COMPLET,374,0,2026-05-27T10:40:00,3.072433,50.634836,POINT (705133.104322689 7059765.5372206)
parking.6,6,LIL0006,EuraLille Centre Commercial,164 Avenue Willy Brandt,LILLE,59350,OUVERT,1055,2873,1058,2026-05-27T10:40:00,3.073071,50.636803,POINT (705178.14847327 7059984.74452263)
parking.7,7,LIL0007,Euralille Gare B,Boulevard de Turin,LILLE,59350,OUVERT,10,160,10,2026-05-27T10:40:00,3.07668,50.638789,POINT (705433.663402966 7060206.22105141)
parking.8,8,LIL0008,Euralille Gare A,Avenue de Cologne,LILLE,59350,OUVERT,170,600,171,2026-05-27T10:40:00,3.07597,50.63977,POINT (705383.286569579 7060315.48431841)
parking.9,9,LIL0009,Opéra,Avenue Carnot,LILLE,59350,OUVERT,120,453,121,2026-05-27T10:40:00,3.066548,50.639305,POINT (704715.680065867 7060263.06518096)
parking.10,10,LIL0010,Vieux Lille,Avenue du Peuple Belge,LILLE,59350,OUVERT,65,246,69,2026-05-27T10:40:00,3.06407,50.6416,POINT (704539.81499435 7060518.69357201)
parking.11,11,LIL0011,Grand Place,Place du Général de Gaulle,LILLE,59350,OUVERT,15,342,16,2026-05-27T10:40:00,3.063635,50.637111,POINT (704509.407356187 7060018.44253956)
parking.12,12,LIL0012,Rihour- Printemps,Place Rihour,LILLE,59350,OUVERT,220,300,221,2026-05-27T10:40:00,3.061362,50.635432,POINT (704348.519181089 7059831.2313344)
parking.13,13,LIL0013,Rues Piétonnes,6 rue de la Rivière,LILLE,59350,OUVERT,110,465,114,2026-05-27T10:40:00,3.065059,50.634141,POINT (704610.614868307 7059687.58928245)
parking.14,14,LIL0014,Nouveau Siècle,19 place Mendès France,LILLE,59350,OUVERT,300,733,302,2026-05-27T10:40:00,3.059397,50.637305,POINT (704209.075198582 7060039.88673215)
parking.15,15,LIL0015,Liberté,Façade de l Esplanade,LILLE,59350,OUVERT,345,560,348,2026-05-27T10:40:00,3.050744,50.638697,POINT (703595.804964006 7060194.56627287)
parking.16,16,LIL0016,Petit Paradis,Façade Esplanade,LILLE,59350,OUVERT,135,270,138,2026-05-27T10:40:00,3.049734,50.644637,POINT (703523.791143476 7060856.34054855)
parking.17,17,LIL0017,Euralille Gare C,Rue du Ballon,LILLE,59350,OUVERT,455,541,457,2026-05-27T10:40:00,3.076426,50.641213,POINT (705415.378885381 7060476.38199712)
parking.18,18,RBX0001,Churchill,Rue du président Vincent Auriol,LILLE,59350,OUVERT,20,300,20,2026-05-27T10:40:00,3.178875,50.689338,POINT (712662.625532722 7065850.92254016)
parking.19,19,RBX0002,Lannoy,Rue Charles Watteeuw,ROUBAIX,59512,OUVERT,OUVERT,300,299,2026-05-27T10:40:00,3.181234,50.690973,POINT (712829.186774643 7066033.48183052)
parking.20,20,RBX0003,Gambetta,Rue Charles Watteeuw,ROUBAIX,59512,COMPLET,COMPLET,800,0,2026-05-27T10:40:00,3.17949,50.690951,POINT (712705.740840576 7066030.75875844)
parking.21,21,RBX0005,La Poste,Rue de la Halle,ROUBAIX,59512,OUVERT,60,82,63,2026-05-27T10:40:00,3.176009,50.69032,POINT (712459.469543862 7065959.84872993)
parking.22,22,RBX0006,Grand Rue,Avenue des Nations Unies,ROUBAIX,59512,OUVERT,710,950,713,2026-05-27T10:40:00,3.175681,50.69333,POINT (712435.479847305 7066295.27223494)
parking.23,23,RBX0007,Centre,Rue Neuve,ROUBAIX,59512,OUVERT,20,85,23,2026-05-27T10:40:00,3.172127,50.691087,POINT (712184.452527028 7066044.67716144)
parking.24,24,TCG0001,Hôtel de Ville,Rue de la Bienfaisance,TOURCOING,59599,OUVERT,9,434,9,2026-05-27T10:40:00,3.158891,50.725414,POINT (711239.820514157 7069868.19934291)
parking.25,25,TCG0002,Miss Cavell,Avenue Allende,TOURCOING,59599,OUVERT,76,273,76,2026-05-27T10:40:00,3.164869,50.72254,POINT (711663.371542537 7069548.74095664)
parking.26,26,TCG0003,Saint-Christophe,Rue des Anges,TOURCOING,59599,LIBRE,LIBRE,757,722,2026-05-27T10:40:00,3.156365,50.7198,POINT (711062.382901157 7069242.16842554)
parking.27,27,VAQ0001,Triolo,Avenue Paul Langevin,VILLENEUVE-D ASCQ,,FERME,FERME,1400,0,2026-05-27T10:40:00,3.138413,50.614282,POINT (709812.930606243 7057481.44705637)
parking.28,28,VAQ0002,4 Cantons,Avenue Pointcaré,VILLENEUVE-D ASCQ,,OUVERT,975,2000,978,2026-05-27T10:40:00,3.138176,50.604623,POINT (709798.067171167 7056405.15281873)
parking.29,29,VAQ0003,Les Près,Boulevard de l Ouest,VILLENEUVE-D ASCQ,,.,.,1000,0,2026-05-27T10:40:00,3.124203,50.649216,POINT (708799.380487664 7061372.37666751)
