FID,objectid,nom,type,commune,adresse,code_insee,latitude,longitude,geom,date_modification
point_vente.21,21,LE NATIONAL café-tabac,Point de vente,LILLE,302 RUE NATIONALE 59800 LILLE,59350,50.62982,3.045195,POINT (50.6298198 3.0451946),2026-05-27T04:00:47.935
point_vente.22,22,LA MITTERIE café-tabac,Point de vente,LOMME,662 AV. DE DUNKERQUE 59160 LOMME,59350,50.647312,3.003461,POINT (50.6473121 3.0034614),2026-05-27T04:00:47.935
point_vente.23,23,AU CHEVAL BLANC café-tabac,Point de vente,VERLINGHEM,46 RUE DE PÉRENCHIES 59237 VERLINGHEM,59611,50.679992,2.996169,POINT (50.6799918 2.9961685),2026-05-27T04:00:47.935
point_vente.24,24,CAFE DE LA MAIRIE café-tabac,Point de vente,LA CHAPELLE-D'ARMENTIÈRES,385 RTE NATIONALE 59930 LA CHAPELLE-D'ARMENTIÈRES,59143,50.670407,2.904171,POINT (50.6704071 2.9041709),2026-05-27T04:00:47.935
point_vente.25,25,LE JEAN BART café-tabac,Point de vente,LOMME,267 AV. DE DUNKERQUE 59160 LOMME,59350,50.637966,3.022998,POINT (50.6379658 3.0229982),2026-05-27T04:00:47.935
point_vente.26,26,E.LECLERC accueil centre commercial,Point de vente,WATTRELOS,E.LECLERC WATTRELOS 59150 WATTRELOS,59650,50.698441,3.209128,POINT (50.69844130000001 3.209127999999999),2026-05-27T04:00:47.935
point_vente.28,28,LE FLINT café-tabac,Point de vente,ROUBAIX,118 BD DE FOURMIES 59100 ROUBAIX,59512,50.6749,3.182585,POINT (50.6749001 3.1825854),2026-05-27T04:00:47.935
point_vente.29,29,CIVETTE DU TILLEUL,Point de vente,WATTRELOS,14 BD LÉON JOUHAUX 59150 WATTRELOS,59650,50.712316,3.17563,POINT (50.7123155 3.1756304),2026-05-27T04:00:47.935
point_vente.30,30,LE BLUE WAY café-tabac,Point de vente,VILLENEUVE-D'ASCQ,58 RUE DU GÉNÉRAL LECLERC 59650 VILLENEUVE-D'ASCQ,59009,50.638179,3.127375,POINT (50.6381786 3.1273748),2026-05-27T04:00:47.935
point_vente.32,32,CAFE DE LA POSTE café-tabac,Point de vente,LILLE,55 RUE CHANZY 59260 LILLE,59350,50.626447,3.106853,POINT (50.6264474 3.1068526),2026-05-27T04:00:47.935
