FID,objectid,code_insee,velo_plus,r_ppal,r_scdr,geom
sc_schema_cyclable_pm35_2023.49,49,59523,Non,Non,Oui,"MULTILINESTRING ((712903.770656756 7053594.44428909, 712838.213813117 7053812.45650408, 712796.151397183 7053964.78492036, 712795.273295314 7053970.06684591, 712794.281237427 7053976.03423545, 712903.781082023 7054175.0619162, 712947.956100002 7054244.914))"
sc_schema_cyclable_pm35_2023.50,50,59350,Non,Non,Oui,"MULTILINESTRING ((704704.431355497 7058981.3147075, 704659.567720859 7058980.70013716, 704529.586094477 7058976.70542996, 704424.801851933 7058974.86171895, 704362.181036555 7058966.43397308))"
sc_schema_cyclable_pm35_2023.51,51,59193,Non,Oui,Non,"MULTILINESTRING ((700892.529799998 7054009.0608, 700885.7575 7054010.6299, 700860.49142464 7054021.82174479, 700860.491300002 7054021.8218, 700836.415427079 7054040.94230031, 700835.789999999 7054041.439, 700814.370999999 7054050.651, 700730.280000001 7054082.551, 700662.020000003 7054116.62, 700651.401000001 7054115.52, 700651.353255943 7054115.4187322, 700646.156300001 7054104.3957, 700616.39570219 7054041.27265093, 700616.120999999 7054040.69, 700565.960000001 7053923.481, 700533.240999997 7053848.04, 700500.93 7053774.111, 700467.409999996 7053699.569, 700419.450000003 7053589.099, 700185.530000001 7053656.619, 699978.049999997 7053716.96, 699778.170000002 7053772.649, 699633.770000003 7053813.781, 699419.468999997 7053872.951, 699414.234541828 7053874.62632874, 699343.515199997 7053897.2606, 699317.827500001 7053904.4168, 699249.013499998 7053920.7405))"
sc_schema_cyclable_pm35_2023.52,52,59011,Non,Non,Oui,"MULTILINESTRING ((694717.549708343 7047597.77196052, 694717.299052596 7047595.21671395, 694698.505134382 7047403.62687178, 694697.309137878 7047328.27909202, 694705.681113407 7047282.83122486, 694736.777022516 7047215.85542062, 694838.436725371 7047011.34001841, 694931.724452697 7046908.48431905, 695020.228194006 7046817.58858473))"
sc_schema_cyclable_pm35_2023.53,53,00000,Non,Oui,Non,"MULTILINESTRING ((698849.560599998 7055651.0561, 698849.55580291 7055651.05035572, 698843.203959363 7055643.44433764, 698842.559201086 7055642.67227153, 698842.247846379 7055629.59537384, 698842.118228863 7055624.15143818, 698836.809965163 7055610.46580539, 698765.600599997 7055426.8756, 698763.517873536 7055420.90250597, 698691.011399999 7055212.9597, 698547.890699998 7054961.0675, 698512.110920147 7054892.27915848, 698505.241099998 7054879.0716, 698488.094409813 7054688.23841314, 698483.827 7054640.7445, 698490.110917033 7054598.83024735, 698494.5185 7054569.4313, 698529.071792621 7054487.63187379, 698547.756499998 7054443.3988, 698550.693700001 7054280.9448, 698520.405632167 7054193.41203532, 698520.238700003 7054192.9296, 698520.198109555 7054192.33521626, 698517.855 7054158.02403543, 698515.681000002 7054126.1892, 698527.674131233 7054084.80234273, 698528.165451723 7054083.10685466, 698532.407399997 7054068.4684, 698736.349 7054028.9755, 698776.225699047 7054014.5914612, 698838.448794317 7053992.14678955, 698900.775899999 7053969.6646, 698952.834641041 7053957.20877926, 699021.015100002 7053940.8956, 699012.568899997 7053915.6312))"
sc_schema_cyclable_pm35_2023.54,54,00000,Non,Oui,Non,"MULTILINESTRING ((700454.670699999 7050080.4384, 700908.698862628 7050516.66820084, 700908.733000003 7050516.701))"
sc_schema_cyclable_pm35_2023.55,55,59286,Non,Non,Non,"MULTILINESTRING ((699166.422 7056097.64199887, 699175.816 7056111.51499887, 699183.306 7056129.32799887, 699193.744 7056167.90499887, 699194.311 7056196.15599887, 699187.391 7056222.02699886, 699174.682 7056240.52099887, 699160.272 7056251.97899887, 699037.076081019 7056336.01463358))"
sc_schema_cyclable_pm35_2023.56,56,59350,Non,Non,Oui,"MULTILINESTRING ((704302.240984076 7059742.89617097, 704319.305287494 7059753.80613545))"
sc_schema_cyclable_pm35_2023.57,57,59350,Non,Oui,Non,"MULTILINESTRING ((704936.017700002 7058767.5547, 705451.185900003 7058735.9588, 705559.930399999 7058578.9519, 705586.188000001 7058551.974))"
sc_schema_cyclable_pm35_2023.58,58,59316,Non,Oui,Non,"MULTILINESTRING ((700711.184699997 7051175.0481, 700786.953900002 7051264.8419, 700823.262502046 7051305.85721451, 700827.138800003 7051310.236, 700877.878374013 7051282.95157832, 700886.402800001 7051278.3677))"
