FID,objectid,identifiant_station,nom,adresse,code_insee,commune,etat,type,nb_places_dispo,nb_velos_dispo,etat_connexion,x,y,geom,date_modification
vlille_temps_reel.1,1,1,Metropole Europeenne de Lille,MEL RUE DU BALLON,59350,Lille,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.075992,50.641926,POINT (50.641926 3.075992),2026-04-02T12:25:08.957
vlille_temps_reel.105,105,105,Verdun,69 AVENUE DE VERDUN,59410,Mons-en-Barœul,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.10231,50.638126,POINT (50.638126 3.10231),2026-04-02T12:25:08.958
vlille_temps_reel.106,106,106,Concorde,27 BOULEVARD ALPHONSE GAYET,59410,Mons-en-Barœul,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.112704,50.638123,POINT (50.638123 3.112704),2026-04-02T12:25:08.958
vlille_temps_reel.109,109,109,Square du Portugal,FACE AU 204 RUE DE LA BASSEE,59350,Lille,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.030667,50.623466,POINT (50.623466 3.030667),2026-04-02T12:25:08.959
vlille_temps_reel.112,112,112,Square Charles de Gaulle,"4, RUE FERDINAND BUISSON",59350,Lille,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.115101,50.626846,POINT (50.626846 3.115101),2026-04-02T12:25:08.96
vlille_temps_reel.118,118,118,College Lavoisier,"56, RUE PAUL VAILLANT",59328,Lambersart,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.022364,50.641834,POINT (50.641834 3.022364),2026-04-02T12:25:08.96
vlille_temps_reel.126,126,126,Le Polyedre,"FACE AU 38, AVENUE RHIN ET DANUBE",59410,Mons-en-Barœul,RÉFORMÉ,AVEC TPE,3,0,DÉCONNECTÉ,3.115571,50.64057,POINT (50.64057 3.115571),2026-04-02T12:25:08.96
vlille_temps_reel.127,127,127,Flers Mairie,16 RUE DU GÉNÉRAL LECLERC,59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.127964,50.63708,POINT (50.63708 3.127964),2026-04-02T12:25:08.96
vlille_temps_reel.128,128,128,Rue Louise Michel,93 RUE LOUISE MICHEL,59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.127335,50.633842,POINT (50.633842 3.127335),2026-04-02T12:25:08.96
vlille_temps_reel.129,129,129,Flers Chateau,RUE DE LA CHEVALERIE,59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.130853,50.63608,POINT (50.63608 3.130853),2026-04-02T12:25:08.96
vlille_temps_reel.134,134,134,Rue des Victoires,"76, BOULEVARD VAN GOGH",59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.131706,50.6221,POINT (50.6221 3.131706),2026-04-02T12:25:08.961
vlille_temps_reel.136,136,136,Rue Chambord,RUE CHAMBORD,59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.133873,50.62972,POINT (50.62972 3.133873),2026-04-02T12:25:08.961
vlille_temps_reel.140,140,140,Rue Corneille,RUE CORNEILLE,59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,14,0,DÉCONNECTÉ,3.144815,50.623795,POINT (50.623795 3.144815),2026-04-02T12:25:08.961
vlille_temps_reel.143,143,143,Rond Point de Tournai,"55, RUE DES FUSILLÉS",59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.146026,50.61776,POINT (50.61776 3.146026),2026-04-02T12:25:08.961
vlille_temps_reel.145,145,145,Residence,PLACE N. DAME DE LA NATIVITÉ,59009,Villeneuve-d'Ascq,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.14528,50.61992,POINT (50.61992 3.14528),2026-04-02T12:25:08.961
vlille_temps_reel.215,215,215,Trois Ponts,"186, AVENUE JULIEN LAGACHE",59512,Roubaix,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.200799,50.684593,POINT (50.684593 3.200799),2026-04-02T12:25:08.98
vlille_temps_reel.218,218,218,Place Spriet,PLACE CHARLES SPRIET,59512,Roubaix,RÉFORMÉ,AVEC TPE,24,0,DÉCONNECTÉ,3.18514,50.67392,POINT (50.67392 3.18514),2026-04-02T12:25:08.98
vlille_temps_reel.222,222,222,Les Gobelins,"32, RUE DE LA COMMUNAUTÉ URBAINE",59512,Roubaix,RÉFORMÉ,AVEC TPE,12,0,DÉCONNECTÉ,3.172165,50.6941,POINT (50.6941 3.172165),2026-04-02T12:25:08.981
vlille_temps_reel.228,228,228,Pellart,"15, RUE PELLART",59512,Roubaix,RÉFORMÉ,AVEC TPE,7,0,DÉCONNECTÉ,3.180779,50.69535,POINT (50.69535 3.180779),2026-04-02T12:25:08.981
vlille_temps_reel.231,231,231,Motte Bossut,ROND POINT DE L'EUROPE,59512,Roubaix,RÉFORMÉ,AVEC TPE,10,0,DÉCONNECTÉ,3.177179,50.689762,POINT (50.689762 3.177179),2026-04-02T12:25:08.981
vlille_temps_reel.233,233,233,Rue de Tourcoing,RUE DE TOURCOING (SUR LA PARKING GRDF),59512,Roubaix,RÉFORMÉ,AVEC TPE,16,0,DÉCONNECTÉ,3.172654,50.702026,POINT (50.702026 3.172654),2026-04-02T12:25:08.981
vlille_temps_reel.235,235,235,Blanchemaille,AVENUE DES NATIONS UNIES,59512,Roubaix,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.16713,50.696327,POINT (50.696327 3.16713),2026-04-02T12:25:08.981
vlille_temps_reel.262,262,262,Wattrelos Place,"2-10, D660",59650,Wattrelos,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.215011,50.701187,POINT (50.701187 3.215011),2026-04-02T12:25:08.983
vlille_temps_reel.263,263,263,Stalingrad,38-4 RUE DE STALINGRAD,59650,Wattrelos,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.209156,50.69626,POINT (50.69626 3.209156),2026-04-02T12:25:08.983
vlille_temps_reel.264,264,264,Republique,203 RUE CARNOT,59650,Wattrelos,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.206297,50.697895,POINT (50.697895 3.206297),2026-04-02T12:25:08.983
vlille_temps_reel.275,275,275,Laënnec,31 bis rue des Écoles,59299,Hem,RÉFORMÉ,AVEC TPE,3,0,DÉCONNECTÉ,3.198101,50.665946,POINT (50.665946 3.198101),2026-04-02T12:25:08.983
vlille_temps_reel.59,59,59,Belfort,84 RUE DE TREVISE,59350,Lille,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.077127,50.622223,POINT (50.622223 3.077127),2026-04-02T12:25:08.986
vlille_temps_reel.87,87,87,Jules Guesde,RUE ST ELOI,59350,Lille,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.110669,50.632393,POINT (50.632393 3.110669),2026-04-02T12:25:08.987
vlille_temps_reel.89,89,89,Boulevard de Metz,40 BOULEVARD DE METZ,59350,Lille,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.041299,50.619312,POINT (50.619312 3.041299),2026-04-02T12:25:08.988
vlille_temps_reel.92,92,92,Rue de la Gaite,9 RUE MARCEAU,59350,Lille,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.091106,50.63665,POINT (50.63665 3.091106),2026-04-02T12:25:08.988
vlille_temps_reel.317,317,317,Gare d'eau,331 Rue des Bois Blancs,,Lille,EN SERVICE,AVEC TPE,7,7,CONNECTÉ,3.02139,50.62911,POINT (50.62911 3.02139),2026-05-27T10:41:16.205
vlille_temps_reel.318,318,318,Hellu - Épine,Rue Paul Kimpe,,Hellemmes,EN SERVICE,AVEC TPE,6,8,CONNECTÉ,3.09978,50.61946,POINT (50.61946 3.09978),2026-05-27T10:41:16.205
vlille_temps_reel.316,316,316,Ramponneau,Allée des Marronniers,,Lille,EN SERVICE,AVEC TPE,16,4,CONNECTÉ,3.05323,50.6399,POINT (50.6399 3.05323),2026-05-27T10:41:16.205
vlille_temps_reel.40,40,40,Metro Gambetta,43 rue du Marché,59350,Lille,EN SERVICE,AVEC TPE,14,14,CONNECTÉ,3.051729,50.62614,POINT (50.62614 3.051729),2026-05-27T10:41:16.152
vlille_temps_reel.73,73,73,St Maurice Pellevoisin,203 rue du Faubourg de Roubaix,59350,Lille,EN SERVICE,AVEC TPE,16,8,CONNECTÉ,3.087979,50.642315,POINT (50.642315 3.087979),2026-05-27T10:41:16.159
vlille_temps_reel.77,77,77,Mont de Terre,5 rue Mattéotti,59350,Lille,EN SERVICE,AVEC TPE,15,3,CONNECTÉ,3.0914,50.62286,POINT (50.62286 3.0914),2026-05-27T10:41:16.16
vlille_temps_reel.78,78,78,Hotel de Police,2 rue du Faubourg des Postes,59350,Lille,EN SERVICE,AVEC TPE,11,7,CONNECTÉ,3.048518,50.615536,POINT (50.615536 3.048518),2026-05-27T10:41:16.16
vlille_temps_reel.86,86,86,Roger Salengro,58 rue Roger Salengro,59350,Lille,EN SERVICE,AVEC TPE,10,2,CONNECTÉ,3.10295,50.62903,POINT (50.62903 3.10295),2026-05-27T10:41:16.163
vlille_temps_reel.114,114,114,Bois Habite,Face au 533 avenue du Président Hoover,59350,Lille,EN SERVICE,AVEC TPE,5,12,CONNECTÉ,3.079211,50.62651,POINT (50.62651 3.079211),2026-05-27T10:41:16.168
vlille_temps_reel.151,151,151,Ch. des Margueritois,39 chemin des Margueritois,59507,Ronchin,EN SERVICE,AVEC TPE,8,5,CONNECTÉ,3.072209,50.60642,POINT (50.60642 3.072209),2026-05-27T10:41:16.174
vlille_temps_reel.261,261,261,Phalempins,Place des Phalempins,59599,Tourcoing,EN SERVICE,AVEC TPE,11,3,CONNECTÉ,3.157764,50.732406,POINT (50.732406 3.157764),2026-05-27T10:41:16.199
vlille_temps_reel.265,265,265,Croix Centre,3 Place de la République,59163,Croix,EN SERVICE,AVEC TPE,9,7,CONNECTÉ,3.14721,50.67441,POINT (50.67441 3.14721),2026-05-27T10:41:16.199
vlille_temps_reel.266,266,266,Mairie de Quartier Ouest,182 Rue de l'Épeule,59512,Roubaix,IN_MAINTENANCE,AVEC TPE,12,0,DÉCONNECTÉ,3.158559,50.6875,POINT (50.6875 3.1585592),2026-05-27T10:41:16.199
vlille_temps_reel.267,267,267,Fer à cheval,Avenue Jean Jaurès (intersection avec avenue Édouard Va,59512,Roubaix,EN SERVICE,AVEC TPE,13,7,CONNECTÉ,3.154898,50.670155,POINT (50.670155 3.154898),2026-05-27T10:41:16.199
vlille_temps_reel.268,268,268,Blanchemaille,55 rue de Blanchemaille,59512,Roubaix,EN SERVICE,AVEC TPE,6,2,CONNECTÉ,3.168664,50.696909,POINT (50.696909 3.168664),2026-05-27T10:41:16.2
vlille_temps_reel.269,269,269,Delory Barbieux,14 Avenue Gustave Delory,59512,Roubaix,IN_MAINTENANCE,AVEC TPE,20,0,DÉCONNECTÉ,3.167315,50.676665,POINT (50.676665 3.167315),2026-05-27T10:41:16.2
vlille_temps_reel.270,270,270,Pavé de Lille,101 Avenue de Flandre,59646,Wasquehal,EN SERVICE,AVEC TPE,13,7,CONNECTÉ,3.130098,50.664211,POINT (50.664211 3.130098),2026-05-27T10:41:16.2
vlille_temps_reel.271,271,271,Wasquehal Hotel de ville,18 rue Michelet,59646,Wasquehal,EN SERVICE,AVEC TPE,14,5,CONNECTÉ,3.13075,50.669917,POINT (50.669917 3.13075),2026-05-27T10:41:16.2
vlille_temps_reel.272,272,272,Charles Fourier,261 avenue Gustave Delory,59512,Roubaix,EN SERVICE,AVEC TPE,2,10,CONNECTÉ,3.183066,50.671609,POINT (50.671609 3.183066),2026-05-27T10:41:16.2
vlille_temps_reel.273,273,273,Piscine des 3 Villes,350 Rue du Docteur Schweitzer,59299,Hem,EN SERVICE,AVEC TPE,7,7,CONNECTÉ,3.198875,50.670865,POINT (50.670865 3.198875),2026-05-27T10:41:16.201
vlille_temps_reel.274,274,274,Calmette,323 avenue Laënnec,59299,Hem,EN SERVICE,AVEC TPE,5,3,CONNECTÉ,3.192974,50.667847,POINT (50.667847 3.192974),2026-05-27T10:41:16.201
vlille_temps_reel.276,276,276,Georges Hannart,141 Rue de la Gare,59163,Croix,EN SERVICE,AVEC TPE,11,9,CONNECTÉ,3.14019,50.67756,POINT (50.67756 3.14019),2026-05-27T10:41:16.201
vlille_temps_reel.300,300,300,Rousseau,13 Avenue Henri Delecaux,59328,Lambersart,EN SERVICE,AVEC TPE,14,6,CONNECTÉ,3.03027,50.64466,POINT (50.64466 3.03027),2026-05-27T10:41:16.202
vlille_temps_reel.3,3,3,Jardin Vauban,19 Boulevard Vauban,59350,Lille,DÉCONNECTÉ,AVEC TPE,12,6,DÉCONNECTÉ,3.050447,50.636093,POINT (50.636093 3.050447),2026-05-27T10:41:16.142
vlille_temps_reel.9,9,9,Rue de Toul,18 rue de Toul,59350,Lille,EN SERVICE,AVEC TPE,19,17,CONNECTÉ,3.044986,50.63393,POINT (50.63393 3.044986),2026-05-27T10:41:16.144
vlille_temps_reel.32,32,32,Place aux Bleuets,15 place aux Bleuets,59350,Lille,EN SERVICE,AVEC TPE,9,7,CONNECTÉ,3.067873,50.64142,POINT (50.64142 3.067873),2026-05-27T10:41:16.15
vlille_temps_reel.50,50,50,Rue d'Arras,87 rue d'Arras,59350,Lille,EN SERVICE,AVEC TPE,24,1,CONNECTÉ,3.067004,50.62224,POINT (50.62224 3.067004),2026-05-27T10:41:16.154
vlille_temps_reel.72,72,72,Canteleu,235 avenue de Dunkerque,59350,Lille,EN SERVICE,AVEC TPE,0,18,CONNECTÉ,3.024314,50.637302,POINT (50.637302 3.024314),2026-05-27T10:41:16.159
vlille_temps_reel.82,82,82,Gare Lille Europe,309 boulevard de Leeds,59350,Lille,EN SERVICE,AVEC TPE,20,12,CONNECTÉ,3.075204,50.63999,POINT (50.63999 3.075204),2026-05-27T10:41:16.162
vlille_temps_reel.161,161,161,Chaude Rivière,80 Rue Chaude Rivière,59350,Lille,EN SERVICE,AVEC TPE,9,6,CONNECTÉ,3.082227,50.634417,POINT (50.634417 3.0822274),2026-05-27T10:41:16.177
vlille_temps_reel.162,162,162,Angellier,1 Rue Auguste Angellier,59350,Lille,EN SERVICE,AVEC TPE,8,18,CONNECTÉ,3.065015,50.628544,POINT (50.628544 3.065015),2026-05-27T10:41:16.178
